Year,Measure Names,Measure Values
2021,Net Profit,-2785.892062
2020,Net Profit,-35046.70971
2019,Net Profit,14762.91942
2018,Net Profit,11774.60119
2017,Net Profit,15666.21668
2016,Net Profit,14224.45599
2015,Net Profit,24793.82291
2014,Net Profit,7383.344244
2013,Net Profit,12183.26811
2012,Net Profit,131.48741
2011,Net Profit,525.489792
2010,Net Profit,2244.628298
2009,Net Profit,-2820.948454
2008,Net Profit,-24500.24375
2007,Net Profit,6306.09975
2006,Net Profit,16527.30177
2005,Net Profit,-28646.62986
2004,Net Profit,-10046.00824
2003,Net Profit,-2088.281163
2002,Net Profit,-11761.55057
2001,Net Profit,-8008.156676
2000,Net Profit,2237.762755
1999,Net Profit,4686.181139
1998,Net Profit,4425.322485
1997,Net Profit,4779.187158
1996,Net Profit,2422.191758
1995,Net Profit,2000.776806
1994,Net Profit,-682.024185
1993,Net Profit,162.95423
1992,Net Profit,-4681.188996
1991,Net Profit,-2055.68788
1990,Net Profit,-4114.179344
1989,Net Profit,-84.921217
1988,Net Profit,1314.379111
1987,Net Profit,163.13591
1986,Net Profit,-121.87554
1985,Net Profit,845.834964
1984,Net Profit,645.346903
1983,Net Profit,-152.091957
1982,Net Profit,-905.574912
1981,Net Profit,-257.486974
1980,Net Profit,50.957491
1979,Net Profit,324.859741
1978,Net Profit,1176.463538
1977,Net Profit,668.714122
2021,Pre-Tax Profit,-3356.448557
2020,Pre-Tax Profit,-45232.07507
2019,Pre-Tax Profit,19220.64574
2018,Pre-Tax Profit,15162.67562
2017,Pre-Tax Profit,19324.2337
2016,Pre-Tax Profit,21826.35055
2015,Pre-Tax Profit,23886.09369
2014,Pre-Tax Profit,9850.030367
2013,Pre-Tax Profit,5179.440575
2012,Pre-Tax Profit,547.850134
2011,Pre-Tax Profit,846.892723
2010,Pre-Tax Profit,3087.711695
2009,Pre-Tax Profit,-3439.873786
2008,Pre-Tax Profit,-26154.83918
2007,Pre-Tax Profit,7908.534449
2006,Pre-Tax Profit,16570.27535
2005,Pre-Tax Profit,-27605.42097
2004,Pre-Tax Profit,-8575.068275
2003,Pre-Tax Profit,-2025.066309
2002,Pre-Tax Profit,-14578.37904
2001,Pre-Tax Profit,-10655.9633
2000,Pre-Tax Profit,4776.124013
1999,Pre-Tax Profit,7954.327008
1998,Pre-Tax Profit,7359.526254
1997,Pre-Tax Profit,7095.147523
1996,Pre-Tax Profit,4047.651743
1995,Pre-Tax Profit,3144.181832
1994,Pre-Tax Profit,-679.036923
1993,Pre-Tax Profit,-1789.134441
1992,Pre-Tax Profit,-3836.146926
1991,Pre-Tax Profit,-2509.264231
1990,Pre-Tax Profit,-4345.2644
1989,Pre-Tax Profit,792.613627
1988,Pre-Tax Profit,2567.658043
1987,Pre-Tax Profit,691.63038
1986,Pre-Tax Profit,121.742934
1985,Pre-Tax Profit,986.420398
1984,Pre-Tax Profit,1278.161608
1983,Pre-Tax Profit,-83.335978
1982,Pre-Tax Profit,-1004.554975
1981,Pre-Tax Profit,-699.919566
1980,Pre-Tax Profit,-156.621762
1979,Pre-Tax Profit,148.149073
1978,Pre-Tax Profit,1353.999008
1977,Pre-Tax Profit,887.994015
2021,Operating Profit,-17351.13033
2020,Operating Profit,-46488.23322
2019,Operating Profit,20768.37361
2018,Operating Profit,17645.86891
2017,Operating Profit,21624.38479
2016,Operating Profit,25096.11311
2015,Operating Profit,27993.58903
2014,Operating Profit,14600.73328
2013,Operating Profit,11308.765
2012,Operating Profit,6036.596785
2011,Operating Profit,5269.989073
2010,Operating Profit,8291.72641
2009,Operating Profit,1022.09177
2008,Operating Profit,-5596.94363
2007,Operating Profit,6674.818275
2006,Operating Profit,5034.936479
2005,Operating Profit,-2004.762198
2004,Operating Profit,-3375.334342
2003,Operating Profit,-3048.978041
2002,Operating Profit,-9543.815276
2001,Operating Profit,-10365.12833
2000,Operating Profit,5701.869486
1999,Operating Profit,6947.654313
1998,Operating Profit,8041.827109
1997,Operating Profit,7450.07815
1996,Operating Profit,5367.133212
1995,Operating Profit,5144.985089
1994,Operating Profit,1960.798226
1993,Operating Profit,944.237871
1992,Operating Profit,-2796.936063
1991,Operating Profit,-2292.911955
1990,Operating Profit,-2455.138111
1989,Operating Profit,1239.24407
1988,Operating Profit,2800.328798
1987,Operating Profit,1841.993085
